family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,dataset,seed,pool_type,subset
GBM,max_depth,hp_max_depth,25,25,4,0.26334926506624606,0.22835716840771453,0.48077348888481614,0.23908144938780712,compas,3,Rashomon,all
GBM,subsample,hp_subsample,25,25,3,0.08286267748526797,0.05970396623661953,0.18250905681654878,0.12242257848104679,compas,3,Rashomon,all
GBM,n_estimators,hp_n_estimators,25,25,3,0.08659668580521307,0.07532236368048299,0.1745364370505414,0.09372340088914118,compas,3,Rashomon,all
LogReg,C,hp_C,25,25,10,0.9863736084866623,0.9848656989986494,0.9988854077740251,0.9882219554649275,compas,3,Rashomon,all
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.24360293689621304,0.25436770910969375,0.3311350669307802,0.22012226616659455,compas,3,Rashomon,all
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.15952641149349384,0.14493321829031225,0.2873728836027551,0.16233506210948376,compas,3,Rashomon,all
MLP,alpha,hp_alpha,25,25,4,0.14352317779332607,0.12896479834691368,0.2589948583464227,0.15076147530714612,compas,3,Rashomon,all
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.10901908834509187,0.08315876466127596,0.23697530651027962,0.1172623157332498,compas,3,Rashomon,all
MLP,activation,hp_activation,25,25,2,0.07894089519234333,0.05031914589088844,0.1874985847769528,0.09462123555283106,compas,3,Rashomon,all
RF,max_depth,hp_max_depth,25,24,4,0.6119874707512657,0.6852765232622225,0.947584603665775,0.6932391861264962,compas,3,Rashomon,all
RF,max_features,hp_max_features,25,22,2,0.14977873562202357,0.175753190316409,0.22305569041791173,0.18918145334170505,compas,3,Rashomon,all
RF,n_estimators,hp_n_estimators,25,25,3,0.1362844494431093,0.14507479244882004,0.22890381393493234,0.1659372776782516,compas,3,Rashomon,all
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.08728956802142797,0.059011649999758636,0.20202559139326387,0.08568487490631085,compas,3,Rashomon,all
RF,min_samples_split,hp_min_samples_split,25,25,3,0.04755172698208529,0.03618276626853474,0.1033228454923781,0.034548620437117414,compas,3,Rashomon,all
kNN,n_neighbors,hp_n_neighbors,25,25,12,0.657656509982872,0.6785270516522827,0.9499127643151909,0.5505818762830613,compas,3,Rashomon,all
kNN,weights,hp_weights,25,25,2,0.29684649386139356,0.14122847992203702,0.8229728775652801,0.5109157592853728,compas,3,Rashomon,all
kNN,p,hp_p,25,25,2,0.051127143496972685,0.03507937453684578,0.10848845395324287,0.0657172599682041,compas,3,Rashomon,all
GBM,learning_rate,hp_learning_rate,25,25,4,0.28417355587307913,0.29854703932487,0.47008790126983685,0.2784166578966966,compas,3,Rashomon,HH
GBM,subsample,hp_subsample,25,25,3,0.10737965125363737,0.06048289187435545,0.22198944418588623,0.25977346300574333,compas,3,Rashomon,HH
GBM,max_depth,hp_max_depth,25,25,4,0.2528164437575496,0.18438110257151163,0.5585062601135359,0.18345642318728833,compas,3,Rashomon,HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.09562779558916969,0.08987829411010151,0.1626816176684583,0.0930150858868096,compas,3,Rashomon,HH
LogReg,C,hp_C,25,25,10,0.9869214800755027,0.9846893848707127,0.999682714750273,0.9939893558111861,compas,3,Rashomon,HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.24129634911006875,0.255480935683465,0.33575783867494874,0.18050530161747655,compas,3,Rashomon,HH
MLP,alpha,hp_alpha,25,25,4,0.21590529341061032,0.1601840436926826,0.4440970254287902,0.2405815204553207,compas,3,Rashomon,HH
