dataset,family,pool_type,target_vm,feature_group,mean_importance,std_importance,top1_frequency,top3_frequency,mean_rank,n_reps_used,group_key
adult,kNN,Rashomon,V_m_HH,hp_weights,0.03252626808736963,0.004216284917231284,0.0,0.0,4.0,12,adult|kNN|Rashomon|V_m_HH
adult,kNN,Rashomon,V_m_nonHH,hp_n_neighbors,0.8973074336405361,0.00640883802085134,1.0,1.0,1.0,12,adult|kNN|Rashomon|V_m_nonHH
adult,kNN,Rashomon,V_m_nonHH,hp_weights,0.07019573444189475,0.005615322312342653,0.0,1.0,2.0,12,adult|kNN|Rashomon|V_m_nonHH
adult,kNN,Rashomon,V_m_nonHH,validation_brier,0.022383321678782212,0.00923988170911651,0.0,0.9166666666666666,3.0833333333333335,12,adult|kNN|Rashomon|V_m_nonHH
adult,kNN,Rashomon,V_m_nonHH,hp_p,0.010113510238787088,0.002395307655840484,0.0,0.08333333333333333,3.9166666666666665,12,adult|kNN|Rashomon|V_m_nonHH
adult,kNN,full_pool,V_m,hp_n_neighbors,0.5415213475662409,0.12217756432520763,0.5,1.0,1.5,12,adult|kNN|full_pool|V_m
adult,kNN,full_pool,V_m,validation_brier,0.4434845542633157,0.12232976274484167,0.5,1.0,1.5,12,adult|kNN|full_pool|V_m
adult,kNN,full_pool,V_m,hp_weights,0.014490303592917997,0.0007856338950999483,0.0,1.0,3.0,12,adult|kNN|full_pool|V_m
adult,kNN,full_pool,V_m,hp_p,0.0005037945775253563,2.1080593100718005e-05,0.0,0.0,4.0,12,adult|kNN|full_pool|V_m
adult,kNN,full_pool,V_m_HH,hp_n_neighbors,0.5603052980143003,0.14974904040161624,0.6666666666666666,1.0,1.3333333333333333,12,adult|kNN|full_pool|V_m_HH
adult,kNN,full_pool,V_m_HH,validation_brier,0.4264729254697554,0.14972710559389135,0.3333333333333333,1.0,1.6666666666666667,12,adult|kNN|full_pool|V_m_HH
adult,kNN,full_pool,V_m_HH,hp_weights,0.01270599810521076,0.0006110535658252675,0.0,1.0,3.0,12,adult|kNN|full_pool|V_m_HH
adult,kNN,full_pool,V_m_HH,hp_p,0.0005157784107336418,0.00013204919580662506,0.0,0.0,4.0,12,adult|kNN|full_pool|V_m_HH
adult,kNN,full_pool,V_m_nonHH,hp_n_neighbors,0.715010919427549,0.09884101449546938,1.0,1.0,1.0,12,adult|kNN|full_pool|V_m_nonHH
