hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
activation,0.011463289379006755,2,50,0.017826001789944784,categorical_exact,2,23,german,0,MLP,full_pool,all,50
alpha,0.010484958808300894,4,50,0.017826001789944784,numeric_exact,4,10,german,0,MLP,full_pool,all,50
max_features,0.5731761527480579,3,50,0.0029590906543927246,categorical_exact,3,14,german,0,RF,full_pool,all,50
max_depth,0.034344317090124706,4,43,0.002863273429990512,numeric_exact,4,9,german,0,RF,full_pool,all,50
n_estimators,0.013525694635518901,3,50,0.0029590906543927246,numeric_exact,3,14,german,0,RF,full_pool,all,50
min_samples_leaf,0.010543223207508674,3,50,0.0029590906543927246,numeric_exact,3,16,german,0,RF,full_pool,all,50
min_samples_split,0.007975931163381848,3,50,0.0029590906543927246,numeric_exact,3,14,german,0,RF,full_pool,all,50
n_neighbors,0.44901724715953395,3,50,0.009878303573389617,numeric_tertile,3,16,german,0,kNN,full_pool,all,50
weights,0.0014512089850486998,2,50,0.009878303573389617,categorical_exact,2,24,german,0,kNN,full_pool,all,50
p,6.990304656699948e-05,2,50,0.009878303573389617,numeric_exact,2,25,german,0,kNN,full_pool,all,50
learning_rate,0.29930691911016616,4,50,0.014365100501719732,numeric_exact,4,10,german,1,GBM,full_pool,all,50
max_depth,0.16789236621053844,4,50,0.014365100501719732,numeric_exact,4,8,german,1,GBM,full_pool,all,50
n_estimators,0.05132859073985253,3,50,0.014365100501719732,numeric_exact,3,16,german,1,GBM,full_pool,all,50
subsample,0.010345643553882589,3,50,0.014365100501719732,numeric_exact,3,13,german,1,GBM,full_pool,all,50
C,0.9211313821489913,3,50,0.01512636363744867,numeric_tertile,3,12,german,1,LogReg,full_pool,all,50
l1_ratio,0.03894729919266259,3,50,0.01512636363744867,numeric_tertile,3,11,german,1,LogReg,full_pool,all,50
learning_rate_init,0.12767885204096222,3,50,0.020801444867598887,numeric_exact,3,16,german,1,MLP,full_pool,all,50
hidden_layer_sizes,0.0948512737216485,5,50,0.020801444867598887,categorical_exact,5,8,german,1,MLP,full_pool,all,50
alpha,0.06524941609484002,4,50,0.020801444867598887,numeric_exact,4,10,german,1,MLP,full_pool,all,50
activation,0.03677561168239367,2,50,0.020801444867598887,categorical_exact,2,18,german,1,MLP,full_pool,all,50
max_features,0.4717934778840821,3,50,0.002788625276923622,categorical_exact,3,13,german,1,RF,full_pool,all,50
max_depth,0.0972024361109683,4,41,0.002819772960769326,numeric_exact,4,9,german,1,RF,full_pool,all,50
min_samples_leaf,0.09183266261936542,3,50,0.002788625276923622,numeric_exact,3,12,german,1,RF,full_pool,all,50
n_estimators,0.052595674752301216,3,50,0.002788625276923622,numeric_exact,3,13,german,1,RF,full_pool,all,50
min_samples_split,0.03139620975031436,3,50,0.002788625276923622,numeric_exact,3,15,german,1,RF,full_pool,all,50
n_neighbors,0.4597707103275343,3,50,0.009231918045970849,numeric_tertile,3,15,german,1,kNN,full_pool,all,50
p,0.00011282158280174837,2,50,0.009231918045970849,numeric_exact,2,25,german,1,kNN,full_pool,all,50
weights,2.700417695590138e-07,2,50,0.009231918045970849,categorical_exact,2,25,german,1,kNN,full_pool,all,50
learning_rate,0.2755543069959913,4,50,0.015737860110175958,numeric_exact,4,10,german,2,GBM,full_pool,all,50
n_estimators,0.09795828717541882,3,50,0.015737860110175958,numeric_exact,3,11,german,2,GBM,full_pool,all,50
max_depth,0.0703995744615604,4,50,0.015737860110175958,numeric_exact,4,9,german,2,GBM,full_pool,all,50
subsample,0.00869963607468805,3,50,0.015737860110175958,numeric_exact,3,12,german,2,GBM,full_pool,all,50
C,0.21844129294472078,3,50,0.017755281580091428,numeric_tertile,3,11,german,2,LogReg,full_pool,all,50
l1_ratio,0.0363659087749892,3,50,0.017755281580091428,numeric_tertile,3,8,german,2,LogReg,full_pool,all,50
learning_rate_init,0.1965338572598915,3,50,0.01949660216604134,numeric_exact,3,11,german,2,MLP,full_pool,all,50
hidden_layer_sizes,0.04185510071169657,5,50,0.01949660216604134,categorical_exact,5,7,german,2,MLP,full_pool,all,50
alpha,0.013322247924751139,4,50,0.01949660216604134,numeric_exact,4,10,german,2,MLP,full_pool,all,50
activation,0.0008740343999690199,2,50,0.01949660216604134,categorical_exact,2,21,german,2,MLP,full_pool,all,50
max_features,0.18392035912834492,3,50,0.0027875372424044182,categorical_exact,3,12,german,2,RF,full_pool,all,50
max_depth,0.15327397025861678,4,39,0.002513222195730226,numeric_exact,4,7,german,2,RF,full_pool,all,50
min_samples_leaf,0.07425410637014354,3,50,0.0027875372424044182,numeric_exact,3,15,german,2,RF,full_pool,all,50
min_samples_split,0.0068643670389332695,3,50,0.0027875372424044182,numeric_exact,3,16,german,2,RF,full_pool,all,50
n_estimators,0.0037139373682258093,3,50,0.0027875372424044182,numeric_exact,3,13,german,2,RF,full_pool,all,50
n_neighbors,0.49297461614387383,3,50,0.009308087935941707,numeric_tertile,3,15,german,2,kNN,full_pool,all,50
p,0.005235537312138416,2,50,0.009308087935941707,numeric_exact,2,24,german,2,kNN,full_pool,all,50
weights,0.0010592215621788351,2,50,0.009308087935941707,categorical_exact,2,25,german,2,kNN,full_pool,all,50
learning_rate,0.3005364592139065,4,50,0.017650508828953176,numeric_exact,4,11,german,3,GBM,full_pool,all,50
n_estimators,0.14821939529728612,3,50,0.017650508828953176,numeric_exact,3,15,german,3,GBM,full_pool,all,50
max_depth,0.08384044905475509,4,50,0.017650508828953176,numeric_exact,4,7,german,3,GBM,full_pool,all,50
subsample,0.04447388585231174,3,50,0.017650508828953176,numeric_exact,3,15,german,3,GBM,full_pool,all,50
C,0.8109402171884782,3,50,0.016674665548210562,numeric_tertile,3,11,german,3,LogReg,full_pool,all,50
l1_ratio,0.03283526382854759,3,50,0.016674665548210562,numeric_tertile,3,11,german,3,LogReg,full_pool,all,50
learning_rate_init,0.2589843993045728,3,50,0.01880378915351203,numeric_exact,3,15,german,3,MLP,full_pool,all,50
hidden_layer_sizes,0.05603986952742354,5,50,0.01880378915351203,categorical_exact,5,9,german,3,MLP,full_pool,all,50
activation,0.01920674361339389,2,50,0.01880378915351203,categorical_exact,2,23,german,3,MLP,full_pool,all,50
