family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,dataset,seed,pool_type,subset
kNN,n_neighbors,hp_n_neighbors,25,25,9,0.6051869562133997,0.7005965891517265,0.9487315517545799,0.6135003003078803,adult,2,Rashomon,non_HH
kNN,weights,hp_weights,25,25,2,0.051907652578182174,0.00476304908102756,0.14574058840763177,0.185232397453105,adult,2,Rashomon,non_HH
kNN,p,hp_p,25,25,2,0.11531174485955314,0.04388239429064795,0.34333128328615137,0.1446684459952875,adult,2,Rashomon,non_HH
GBM,max_depth,hp_max_depth,25,25,4,0.18132823251572866,0.12034858291869795,0.43187568711502405,0.2694885753305254,adult,3,Rashomon,all
GBM,subsample,hp_subsample,25,25,3,0.10460660541957482,0.08293050486429526,0.21672207737571647,0.1500396095447813,adult,3,Rashomon,all
GBM,n_estimators,hp_n_estimators,25,25,3,0.13201625475553086,0.12337335003638954,0.23840977472618033,0.13774999367019256,adult,3,Rashomon,all
GBM,learning_rate,hp_learning_rate,25,25,4,0.2283538652948967,0.17750717610699113,0.5164049387752149,0.11344970068643911,adult,3,Rashomon,all
LogReg,C,hp_C,25,25,10,0.8837398427385265,0.9739174865414801,0.999555498368965,0.9765310426384437,adult,3,Rashomon,all
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.10685111886711689,0.09090340052934338,0.167664131750969,0.08806796133581711,adult,3,Rashomon,all
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.17055590010284846,0.15925121425532707,0.29923354286235554,0.15198296483975363,adult,3,Rashomon,all
MLP,alpha,hp_alpha,25,25,4,0.11673585917273614,0.09744355201765992,0.2261454433057688,0.1326618178358904,adult,3,Rashomon,all
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.10681618278445229,0.07731047083944405,0.23683930397998443,0.12739955681639,adult,3,Rashomon,all
MLP,activation,hp_activation,25,25,2,0.1014902220141455,0.053395827542360164,0.27990001551069227,0.09852212837351619,adult,3,Rashomon,all
RF,max_features,hp_max_features,25,13,2,0.4957820111475499,0.5551798099413906,0.7819569594983784,0.5807473165718435,adult,3,Rashomon,all
RF,max_depth,hp_max_depth,25,16,3,0.19997490467438028,0.15935200103464678,0.4225595628838638,0.2379199200672225,adult,3,Rashomon,all
RF,min_samples_split,hp_min_samples_split,25,25,3,0.19247313798583524,0.19806477039191955,0.29877373623025927,0.21536894690880215,adult,3,Rashomon,all
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.20002580420219285,0.18242788699840806,0.36519427703770774,0.17285115978071403,adult,3,Rashomon,all
RF,n_estimators,hp_n_estimators,25,25,3,0.048752225110696726,0.04372351108792786,0.08904406754189462,0.04526290662757444,adult,3,Rashomon,all
kNN,n_neighbors,hp_n_neighbors,25,25,8,0.5333928671681533,0.589842036027728,0.9114020666648711,0.4861484715840473,adult,3,Rashomon,all
kNN,p,hp_p,25,25,2,0.13068265288816108,0.04081079458379571,0.41331300422516126,0.300706977968412,adult,3,Rashomon,all
kNN,weights,hp_weights,25,25,2,0.052625739854635145,0.00947066501086996,0.1386542764226576,0.12548003492448243,adult,3,Rashomon,all
GBM,max_depth,hp_max_depth,25,25,4,0.23143567941521087,0.16802512885804105,0.5383378025072588,0.3328902393139044,adult,3,Rashomon,HH
GBM,subsample,hp_subsample,25,25,3,0.14961157123332244,0.13488558825017613,0.2826129539587198,0.18067021228277605,adult,3,Rashomon,HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.1320073027168462,0.12667108617852185,0.2262454153144413,0.1267017369261133,adult,3,Rashomon,HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.17050187947846193,0.12933004385032104,0.36995147544178886,0.10499295061002983,adult,3,Rashomon,HH
