dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
adult,2,Rashomon,non_HH,kNN,p,,decomp_ratio_of_sums,0.1446684459952875
adult,2,Rashomon,all,GBM,n_estimators,,vm_between_group_ratio,0.22043921289799187
adult,2,Rashomon,all,GBM,learning_rate,,vm_between_group_ratio,0.17938487623070082
adult,2,Rashomon,all,GBM,max_depth,,vm_between_group_ratio,0.025265640380658632
adult,2,Rashomon,all,GBM,subsample,,vm_between_group_ratio,0.01054355274580457
adult,2,Rashomon,all,LogReg,C,,vm_between_group_ratio,0.47289894222392775
adult,2,Rashomon,all,LogReg,l1_ratio,,vm_between_group_ratio,0.05649141466951148
adult,2,Rashomon,all,MLP,learning_rate_init,,vm_between_group_ratio,0.6936771215378034
adult,2,Rashomon,all,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.1849813379446815
adult,2,Rashomon,all,MLP,activation,,vm_between_group_ratio,0.13547455356794086
adult,2,Rashomon,all,MLP,alpha,,vm_between_group_ratio,0.11370623506490941
adult,2,Rashomon,all,RF,max_features,,vm_between_group_ratio,0.3943252593806798
adult,2,Rashomon,all,RF,min_samples_leaf,,vm_between_group_ratio,0.17999396695117603
adult,2,Rashomon,all,RF,n_estimators,,vm_between_group_ratio,0.03309270217780176
adult,2,Rashomon,all,RF,min_samples_split,,vm_between_group_ratio,0.012967290865299864
