dataset,family,subset,pool_type,hp,n_seeds,mean_importance,std_importance,mean_rank,importance_type
adult,RF,non_HH,Rashomon,max_depth,10,0.16606606564947596,0.09840943698234209,2.6,V_m
adult,RF,non_HH,Rashomon,min_samples_leaf,10,0.11929318897425797,0.07351440348678923,3.3,V_m
adult,RF,non_HH,Rashomon,min_samples_split,10,0.09239028728963186,0.08544611087784461,4.2,V_m
adult,RF,non_HH,Rashomon,n_estimators,10,0.11491688863456855,0.10603509121366832,3.2,V_m
adult,RF,non_HH,Rashomon,max_depth,10,0.2950866490265485,0.07741733818643468,1.3,decomposition
adult,RF,non_HH,Rashomon,min_samples_leaf,10,0.11656957733582043,0.04610321806988433,3.1,decomposition
adult,RF,non_HH,Rashomon,min_samples_split,10,0.07774537147982107,0.056927749469467596,4.1,decomposition
adult,RF,non_HH,Rashomon,n_estimators,10,0.07630802061307439,0.041676746267599506,3.9,decomposition
adult,RF,non_HH,full_pool,max_depth,10,0.46337522270928694,0.07332192174691406,1.0,V_m
adult,RF,non_HH,full_pool,max_features,10,0.06717582185454898,0.058356237074372506,3.2,V_m
adult,RF,non_HH,full_pool,min_samples_leaf,10,0.1076575520897105,0.0795686935084937,2.7,V_m
adult,RF,non_HH,full_pool,min_samples_split,10,0.052321612274464815,0.058731668512248855,3.8,V_m
adult,RF,non_HH,full_pool,n_estimators,10,0.028989947704269863,0.01794950938443174,4.3,V_m
adult,RF,non_HH,full_pool,max_depth,10,0.4213476462130882,0.05333811979942412,1.0,decomposition
adult,RF,non_HH,full_pool,max_features,10,0.0744467569098013,0.04740583336269829,2.9,decomposition
adult,RF,non_HH,full_pool,min_samples_leaf,10,0.06772105837123074,0.02271468434137748,2.8,decomposition
adult,RF,non_HH,full_pool,min_samples_split,10,0.0495973122844205,0.023389381634381395,3.6,decomposition
adult,RF,non_HH,full_pool,n_estimators,10,0.03360507761935214,0.01572844886560077,4.7,decomposition
adult,kNN,HH,Rashomon,n_neighbors,10,0.5589307364902587,0.22444566129538132,1.2,V_m
adult,kNN,HH,Rashomon,p,10,0.19228519406897138,0.17169504900741084,2.1,V_m
adult,kNN,HH,Rashomon,weights,10,0.06700542923419645,0.04562157450135807,2.7,V_m
