dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
compas,2,Rashomon,all,GBM,n_estimators,,decomp_ratio_of_sums,0.0875879819687358
compas,2,Rashomon,all,LogReg,C,,decomp_ratio_of_sums,0.9996419776918363
compas,2,Rashomon,all,LogReg,l1_ratio,,decomp_ratio_of_sums,0.10107975377156506
compas,2,Rashomon,all,MLP,learning_rate_init,,decomp_ratio_of_sums,0.1864636886714786
compas,2,Rashomon,all,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.1424822952316258
compas,2,Rashomon,all,MLP,alpha,,decomp_ratio_of_sums,0.09476228163530982
compas,2,Rashomon,all,MLP,activation,,decomp_ratio_of_sums,0.058345981042908036
compas,2,Rashomon,all,RF,max_depth,,decomp_ratio_of_sums,0.5306891600631131
compas,2,Rashomon,all,RF,min_samples_leaf,,decomp_ratio_of_sums,0.2626286642495146
compas,2,Rashomon,all,RF,min_samples_split,,decomp_ratio_of_sums,0.12527463546918158
compas,2,Rashomon,all,RF,n_estimators,,decomp_ratio_of_sums,0.049994727808859746
compas,2,Rashomon,all,RF,max_features,,decomp_ratio_of_sums,0.017207290623128393
compas,2,Rashomon,all,kNN,n_neighbors,,decomp_ratio_of_sums,0.9424784558289293
compas,2,Rashomon,all,kNN,p,,decomp_ratio_of_sums,0.011810982191970559
compas,2,Rashomon,HH,GBM,learning_rate,,decomp_ratio_of_sums,0.4050636192719656
compas,2,Rashomon,HH,GBM,max_depth,,decomp_ratio_of_sums,0.2525986421696782
compas,2,Rashomon,HH,GBM,subsample,,decomp_ratio_of_sums,0.1774659610784778
compas,2,Rashomon,HH,GBM,n_estimators,,decomp_ratio_of_sums,0.06151340518799276
compas,2,Rashomon,HH,LogReg,C,,decomp_ratio_of_sums,0.9998389055402844
compas,2,Rashomon,HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.09948295362035424
compas,2,Rashomon,HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.21600986943428724
compas,2,Rashomon,HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.13248979562710453
compas,2,Rashomon,HH,MLP,alpha,,decomp_ratio_of_sums,0.0889873936772988
compas,2,Rashomon,HH,MLP,activation,,decomp_ratio_of_sums,0.06371723612590337
compas,2,Rashomon,HH,RF,max_depth,,decomp_ratio_of_sums,0.5055066059069913
compas,2,Rashomon,HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.269112126989176
compas,2,Rashomon,HH,RF,min_samples_split,,decomp_ratio_of_sums,0.13791026416200622
compas,2,Rashomon,HH,RF,n_estimators,,decomp_ratio_of_sums,0.044238342753645105
compas,2,Rashomon,HH,RF,max_features,,decomp_ratio_of_sums,0.009880191053519916
compas,2,Rashomon,HH,kNN,n_neighbors,,decomp_ratio_of_sums,0.908109944425674
compas,2,Rashomon,HH,kNN,p,,decomp_ratio_of_sums,0.038467503183078754
compas,2,Rashomon,non_HH,GBM,learning_rate,,decomp_ratio_of_sums,0.3119850429117046
compas,2,Rashomon,non_HH,GBM,max_depth,,decomp_ratio_of_sums,0.2679363644584331
compas,2,Rashomon,non_HH,GBM,subsample,,decomp_ratio_of_sums,0.16461303295764707
compas,2,Rashomon,non_HH,GBM,n_estimators,,decomp_ratio_of_sums,0.09326822853025514
compas,2,Rashomon,non_HH,LogReg,C,,decomp_ratio_of_sums,0.9996270035384754
compas,2,Rashomon,non_HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.10120117250710094
compas,2,Rashomon,non_HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.18355913962504458
compas,2,Rashomon,non_HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.14346461187792275
compas,2,Rashomon,non_HH,MLP,alpha,,decomp_ratio_of_sums,0.0953299842919191
compas,2,Rashomon,non_HH,MLP,activation,,decomp_ratio_of_sums,0.057817957676547745
compas,2,Rashomon,non_HH,RF,max_depth,,decomp_ratio_of_sums,0.5350436045303295
compas,2,Rashomon,non_HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.26150757548782283
compas,2,Rashomon,non_HH,RF,min_samples_split,,decomp_ratio_of_sums,0.12308974417061987
compas,2,Rashomon,non_HH,RF,n_estimators,,decomp_ratio_of_sums,0.050990093842799275
compas,2,Rashomon,non_HH,RF,max_features,,decomp_ratio_of_sums,0.01850131999830115
compas,2,Rashomon,non_HH,kNN,n_neighbors,,decomp_ratio_of_sums,0.9466655456758849
compas,2,Rashomon,non_HH,kNN,p,,decomp_ratio_of_sums,0.008563438325800728
compas,2,Rashomon,all,GBM,n_estimators,,vm_between_group_ratio,0.21200320677944018
compas,2,Rashomon,all,GBM,learning_rate,,vm_between_group_ratio,0.15933832266962447
compas,2,Rashomon,all,GBM,max_depth,,vm_between_group_ratio,0.00903477393917901
compas,2,Rashomon,all,GBM,subsample,,vm_between_group_ratio,0.00858347028037755
compas,2,Rashomon,all,LogReg,C,,vm_between_group_ratio,0.9999815782861458
