rule,frequency,label
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND num__credit_amount <= -0.3753 AND num__age > -0.1029,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND num__credit_amount > -0.3753 AND cat__personal_status_male single > 0.5,0.02,HV_q
cat__property_magnitude_no known property <= 0.5 AND num__credit_amount <= -0.886 AND cat__job_unskilled resident <= 0.5,0.02,HV_q
cat__property_magnitude_no known property <= 0.5 AND num__credit_amount <= -0.886 AND cat__job_unskilled resident > 0.5 AND cat__property_magnitude_real estate > 0.5,0.02,HV_q
cat__property_magnitude_no known property <= 0.5 AND num__credit_amount > -0.886 AND num__duration <= -1.099,0.02,HV_q
cat__property_magnitude_no known property <= 0.5 AND num__credit_amount > -0.886 AND num__duration > -1.099 AND num__credit_amount > 1.979,0.02,HV_q
cat__property_magnitude_no known property > 0.5 AND num__duration > -0.005327 AND num__credit_amount <= 2.061 AND num__credit_amount <= 0.7155,0.02,HV_q
cat__property_magnitude_no known property > 0.5 AND num__duration > -0.005327 AND num__credit_amount <= 2.061 AND num__credit_amount > 0.7155,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= 1.063 AND cat__foreign_worker_yes <= 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND cat__property_magnitude_car <= 0.5,0.02,HV_q
